question_id,point_code,point_title,dimension,question_no,score,max_score
P1-D1-Q1,P1,"Derechos de las mujeres e igualdad de género",D1,1,1.5,3.0
P1-D1-Q2,P1,"Derechos de las mujeres e igualdad de género",D1,2,1.5,3.0
P1-D1-Q3,P1,"Derechos de las mujeres e igualdad de género",D1,3,1.5,3.0
P1-D1-Q4,P1,"Derechos de las mujeres e igualdad de género",D1,4,1.5,3.0
P1-D1-Q5,P1,"Derechos de las mujeres e igualdad de género",D1,5,1.5,3.0
P1-D2-Q6,P1,"Derechos de las mujeres e igualdad de género",D2,6,1.5,3.0
P1-D2-Q7,P1,"Derechos de las mujeres e igualdad de género",D2,7,1.5,3.0
P1-D2-Q8,P1,"Derechos de las mujeres e igualdad de género",D2,8,1.5,3.0
P1-D2-Q9,P1,"Derechos de las mujeres e igualdad de género",D2,9,1.5,3.0
P1-D2-Q10,P1,"Derechos de las mujeres e igualdad de género",D2,10,1.5,3.0
P1-D3-Q11,P1,"Derechos de las mujeres e igualdad de género",D3,11,1.5,3.0
P1-D3-Q12,P1,"Derechos de las mujeres e igualdad de género",D3,12,1.5,3.0
P1-D3-Q13,P1,"Derechos de las mujeres e igualdad de género",D3,13,1.5,3.0
P1-D3-Q14,P1,"Derechos de las mujeres e igualdad de género",D3,14,1.5,3.0
P1-D3-Q15,P1,"Derechos de las mujeres e igualdad de género",D3,15,1.5,3.0
P1-D4-Q16,P1,"Derechos de las mujeres e igualdad de género",D4,16,1.5,3.0
P1-D4-Q17,P1,"Derechos de las mujeres e igualdad de género",D4,17,1.5,3.0
P1-D4-Q18,P1,"Derechos de las mujeres e igualdad de género",D4,18,1.5,3.0
P1-D4-Q19,P1,"Derechos de las mujeres e igualdad de género",D4,19,1.5,3.0
P1-D4-Q20,P1,"Derechos de las mujeres e igualdad de género",D4,20,1.5,3.0
P1-D5-Q21,P1,"Derechos de las mujeres e igualdad de género",D5,21,1.5,3.0
P1-D5-Q22,P1,"Derechos de las mujeres e igualdad de género",D5,22,1.5,3.0
P1-D5-Q23,P1,"Derechos de las mujeres e igualdad de género",D5,23,1.5,3.0
P1-D5-Q24,P1,"Derechos de las mujeres e igualdad de género",D5,24,1.5,3.0
P1-D5-Q25,P1,"Derechos de las mujeres e igualdad de género",D5,25,1.5,3.0
P1-D6-Q26,P1,"Derechos de las mujeres e igualdad de género",D6,26,1.5,3.0
P1-D6-Q27,P1,"Derechos de las mujeres e igualdad de género",D6,27,1.5,3.0
P1-D6-Q28,P1,"Derechos de las mujeres e igualdad de género",D6,28,1.5,3.0
P1-D6-Q29,P1,"Derechos de las mujeres e igualdad de género",D6,29,1.5,3.0
P1-D6-Q30,P1,"Derechos de las mujeres e igualdad de género",D6,30,1.5,3.0
P2-D1-Q1,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D1,1,1.5,3.0
P2-D1-Q2,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D1,2,1.5,3.0
P2-D1-Q3,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D1,3,1.5,3.0
P2-D1-Q4,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D1,4,1.5,3.0
P2-D1-Q5,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D1,5,1.5,3.0
P2-D2-Q6,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D2,6,1.5,3.0
P2-D2-Q7,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D2,7,1.5,3.0
P2-D2-Q8,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D2,8,1.5,3.0
P2-D2-Q9,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D2,9,1.5,3.0
P2-D2-Q10,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D2,10,1.5,3.0
P2-D3-Q11,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D3,11,1.5,3.0
P2-D3-Q12,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D3,12,1.5,3.0
P2-D3-Q13,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D3,13,1.5,3.0
P2-D3-Q14,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D3,14,1.5,3.0
P2-D3-Q15,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D3,15,1.5,3.0
P2-D4-Q16,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D4,16,1.5,3.0
P2-D4-Q17,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D4,17,1.5,3.0
P2-D4-Q18,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D4,18,1.5,3.0
P2-D4-Q19,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D4,19,1.5,3.0
P2-D4-Q20,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D4,20,1.5,3.0
P2-D5-Q21,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D5,21,1.5,3.0
P2-D5-Q22,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D5,22,1.5,3.0
P2-D5-Q23,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D5,23,1.5,3.0
